Quantity,Manufacture Part Number,Manufacturer,Package,Description,Designator,LCSC Part Number,Notes
2,,,Solder pad,VBAT_RAW / VBAT_FUSED test pads - no part to buy,"J2,J9",,Do not populate
2,TS-1187A-B-A-B,XKB Connection,SMD 3x4x2mm,Tactile push button - BOOT / EN,"SW1,SW2",C318884,
1,,,Pad,Test point 5V_SW - no part to buy,TP1,,Do not populate
4,,,M3,Mounting hole - no part to buy,"H1,H2,H3,H4",,Do not populate
2,RC0603FR-075K1L,YAGEO,0603,5.1k 1% 1/10W - USB-C CC pulldowns,"R7,R8",,
9,RC0603FR-0710KL,YAGEO,0603,10k 1% 1/10W - pullups / PGOOD / feedback network,"R9,R14,R19,R20,R24,R27,R28,R29,R35",,
2,RC0603FR-074K7L,YAGEO,0603,4.7k 1% 1/10W - I2C pullups,"R17,R18",,
1,RC0603FR-07100RL,YAGEO,0603,100R 1% 1/10W - IO0 series,R10,,
1,RC0603FR-07332RL,YAGEO,0603,332R 1% 1/10W - TPS2113A ILIM,R15,,
1,RC0603FR-0791KL,YAGEO,0603,91k 1% 1/10W,R16,,
3,RC0603FR-07100KL,YAGEO,0603,100k 1% 1/10W,"R21,R22,R36",,
1,RC0603FR-0743KL,YAGEO,0603,43k 1% 1/10W - VBAT sense divider,R23,,
1,RC0603FR-0711K3L,YAGEO,0603,11.3k 1% 1/10W - buck FB divider bottom,R25,,
1,RC0603FR-0724K3L,YAGEO,0603,24.3k 1% 1/10W - buck FB divider top,R26,,
3,RC0603FR-07330RL,YAGEO,0603,330R 1% 1/10W - servo signal series,"R30,R32,R33",,
1,RC0603FR-07300RL,YAGEO,0603,300R 1% 1/10W - status LED,R31,,
1,RC0603FR-0790K9L,YAGEO,0603,90.9k 1% 1/10W,R34,,
15,CL10B104KB8NNNC,Samsung,0603,100nF 50V X7R - decoupling,"C18,C19,C20,C21,C22,C23,C24,C25,C26,C28,C31,C34,C42,C43,C45",,
5,CL10B105KB8NNNC,Samsung,0603,1uF 50V X7R,"C12,C13,C15,C16,C17",,
1,CL10B103KB8NNNC,Samsung,0603,10nF 50V X7R - TPS22965 CT slew rate,C46,,
1,CL10C150JB8NNNC,Samsung,0603,15pF 50V C0G - buck BOOT/FB,C35,,
5,CC0603KRX5R8BB475,YAGEO,0603,"4.7uF 25V X5R 10% - buck input bank (VBAT, 8.4V max)","C30,C32,C33,C37,C38",C326580,~2.7uF each after DC bias at 8.4V; 5 in parallel is still fine for the TPS543620 input
4,GRM188R61E106MA73D,Murata,0603,10uF 25V X5R - VBUS / 5V_LOGIC / 3V3 / GPS VCC,"C5,C14,C27,C29",C91606,25V rating keeps most of the capacitance at 3.3-5V
3,GRT188R61A226ME13D,Murata,0603,22uF 10V X5R - load switch input + 5V_SW output bulk,"C40,C41,C44",C126630,Was 220uF/22uF/100uF. ~10uF effective each at 5V. Beats a 47uF/6.3V 0603 here - less DC bias derating despite the lower nominal
2,GRM188R60J476ME01D,Murata,0603,47uF 6.3V X5R - buck output,"C36,C39",C3848273,~8uF each after DC bias at 5V (~16uF total vs 94uF nominal). This pair matters more than C40/C44 for Pi load steps - consider 1210 here if you change any footprint
1,RVT1E471M1010,ROQANG,CP_Elec_10x10,470uF 25V aluminium electrolytic - +5V servo rail bulk,C2,C72518,
